人口総数,"15歳未満人口","15〜64歳人口","65歳以上人口",出生数,死亡数,転入者数,転出者数,昼間人口,"高齢単身世帯数",婚姻件数,離婚件数,政府統計の総合窓口より2012年の人口状況
4862,564,2760,1538,31,77,90,143,4750,84,21,5,鮭川村　　　　
5304,558,3059,1687,28,91,65,147,5052,102,23,11,戸沢村　　　　
25025,3429,14868,6721,193,340,569,622,23585,436,109,56,高畠町　　　　
17313,1953,9976,5384,102,234,345,433,16932,343,64,38,川西町　　　　
8862,1070,4816,2976,62,145,178,211,10002,310,36,18,小国町　　　　
15314,1878,8658,4778,109,230,244,303,14386,360,50,30,白鷹町　　　　
7943,939,4494,2510,57,110,157,197,7615,184,33,10,飯豊町　　　　
7731,998,4358,2372,51,103,183,200,8609,106,25,13,三川町　　　　
23158,2968,13111,7079,163,285,433,522,21382,475,84,39,庄内町　　　　
15480,1670,8725,5085,90,267,250,353,14037,441,58,20,遊佐町　　　　
292590,39736,180618,68621,2438,2717,8580,8905,307548,9250,1455,549,福島市　　　　
126220,17268,75972,32039,1013,1331,3523,4266,138986,4681,613,291,会津若松市　　
338712,48692,217826,67956,3071,2761,11058,11112,359136,8847,1851,802,郡山市　　　　
342249,46776,208667,85510,2706,3829,6560,7690,354269,12272,1709,695,いわき市　　　
64704,9501,40373,14682,532,584,1874,2134,66789,1727,342,132,白河市　　　　
79267,11719,49946,17242,681,733,2144,2216,75769,1724,379,152,須賀川市　　　
52356,6560,29232,16459,348,760,1137,1328,54257,1797,197,86,喜多方市　　　
37817,5187,22832,9577,322,396,1114,1237,38678,1172,213,81,相馬市　　　　
59871,7725,36188,15854,438,694,1139,1564,59323,1315,263,105,二本松市　　　
40422,5100,23601,11686,305,510,754,997,39031,880,176,58,田村市　　　　
70878,9649,42196,18809,610,801,1651,1835,71066,1837,329,133,南相馬市　　　
66027,8378,39060,18528,403,766,1284,1479,62296,1546,262,110,伊達市　　　　
31489,4670,19571,7227,268,275,915,965,31524,555,145,52,本宮市　　　　
12853,1547,7379,3926,84,154,362,387,12021,295,34,14,桑折町　　　　
10086,1181,5853,3052,45,114,185,260,8978,290,32,15,国見町　　　　
15569,1761,8863,4941,96,211,288,382,16277,548,68,27,川俣町　　　　
8574,1201,5389,1979,75,103,267,206,6527,86,41,15,大玉村　　　　
12815,1991,8093,2712,107,116,464,437,12224,277,69,29,鏡石町　　　　
6291,777,3835,1679,45,92,191,197,5300,99,28,12,天栄村　　　　
6461,722,3339,2400,46,93,96,221,6427,251,23,11,下郷町　　　　
636,81,342,213,3,6,14,26,744,20,3,0,檜枝岐村　　　
4932,526,2369,2036,31,92,129,162,5293,289,19,1,只見町　　　　
17864,2068,9416,6369,108,295,478,608,19884,850,49,33,南会津町　　　
3185,415,1879,891,32,46,113,114,3463,75,16,5,北塩原村　　　
7366,719,3599,3048,38,166,131,169,7814,424,19,10,西会津町　　　
3761,464,2089,1208,24,41,155,117,4537,123,8,9,磐梯町　　　　
15805,1948,8951,4890,111,239,438,517,15675,481,65,26,猪苗代町　　　
17360,2342,9878,5126,118,224,443,517,17316,500,66,33,会津坂下町　　
3364,507,1892,965,29,44,62,89,3017,63,9,6,湯川村　　　　
4009,430,2072,1507,15,80,84,99,3956,158,17,5,柳津町　　　　
1926,133,880,912,9,42,36,74,2198,125,6,2,三島町　　　　
2462,151,955,1356,9,57,69,65,2972,221,5,2,金山町　　　　
1500,104,598,798,6,41,44,49,1600,142,3,2,昭和村　　　　
22737,2685,12786,7262,140,325,498,717,20230,672,86,36,会津美里町　　
19767,3022,12991,3610,189,177,847,835,19445,342,114,47,西郷村　　　　
6802,959,4211,1629,64,69,192,191,7546,118,34,7,泉崎村　　　　
5154,795,3223,1126,29,59,113,188,4537,49,21,4,中島村　　　　
18407,2498,11350,4429,159,182,564,559,18447,444,97,47,矢吹町　　　　
15062,2293,9030,3739,144,155,386,471,16453,384,74,29,棚倉町　　　　
9884,1246,5551,3087,72,143,212,300,9734,280,48,12,塙町　　　　　
3989,487,2249,1253,36,51,99,116,3690,106,16,7,鮫川村　　　　
17775,2074,10716,4906,140,212,359,591,18585,391,77,31,石川町　　　　
7231,1036,4500,1695,61,84,130,196,7054,82,21,17,玉川村　　　　
6921,912,4253,1756,55,89,140,211,6507,109,38,18,平田村　　　　
6888,995,4110,1783,54,93,148,219,6205,157,31,13,浅川町　　　　
6030,769,3386,1875,38,78,101,159,5870,148,23,7,古殿町　　　　
18191,2256,11171,4763,121,223,490,597,16557,380,72,29,三春町　　　　
11202,1392,6601,3204,93,138,274,376,11830,316,51,10,小野町　　　　
5418,765,3365,1288,47,62,189,165,5370,165,14,5,広野町　　　　
7700,1021,4684,1995,53,103,208,251,8471,239,21,14,楢葉町　　　　
16001,2242,10245,3342,111,151,757,729,15663,456,89,27,富岡町　　　　
2820,260,1567,993,13,43,69,117,2836,115,11,2,川内村　　　　
11515,1848,7252,2413,141,95,589,403,14305,273,74,36,大熊町　　　　
6932,928,4119,1879,78,79,267,316,6975,211,45,14,双葉町　　　　
20905,2719,12550,5548,170,251,609,720,19504,643,98,24,浪江町　　　　
1531,173,865,493,7,15,41,36,1349,59,8,3,葛尾村　　　　
8224,1118,4890,2215,54,94,194,221,7459,178,27,25,新地町　　　　
6209,792,3552,1865,38,90,186,213,6025,130,30,16,飯舘村　　　　
268750,37340,169886,57793,2488,2252,11003,10138,301951,9248,1538,562,水戸市　　　　
193129,25861,118012,48620,1577,1933,4185,5180,211905,6990,972,274,日立市　　　　
143839,18989,91826,31968,1135,1338,6226,6232,158919,4393,793,338,土浦市　　　　
142995,18824,93698,30304,1151,1261,3462,3722,133243,3369,733,295,古河市　　　　
79687,9989,49156,20249,579,790,2084,2422,74919,1996,378,161,石岡市　　　　
52494,6905,33434,12027,423,469,1336,1416,48646,1035,253,89,結城市　　　　
80334,11118,53540,15132,565,598,2859,2772,68413,1881,348,159,龍ケ崎市　　　
44987,6414,28720,9753,359,445,1305,1298,44873,844,232,108,下妻市　　　　
65320,8873,41425,15021,492,677,1641,1702,68627,1114,308,118,常総市　　　　
56250,6301,33229,16684,256,701,1100,1347,49850,2117,170,60,常陸太田市　　
31017,3810,19134,8064,215,345,870,997,30082,1156,123,66,高萩市　　　　
47026,5929,28939,12074,299,609,1098,1260,45762,1624,194,87,北茨城市　　　
79409,10268,49901,19015,613,843,1936,2116,72356,2084,362,142,笠間市　　　　
109651,12623,69979,26892,759,906,3766,3855,93188,3603,489,194,取手市　　　　
81684,11003,54248,16428,695,530,4000,3294,63242,1813,453,121,牛久市　　　　
214590,32225,145431,33933,2174,1449,12180,10444,218486,3272,1375,353,つくば市　　　
157060,24160,100276,31744,1491,1232,5237,5226,150396,3739,922,274,ひたちなか市　
66093,9079,41907,14748,592,549,2577,2197,69125,1860,395,159,鹿嶋市　　　　
30534,3873,19419,7194,229,322,679,844,27657,759,123,68,潮来市　　　　
62482,10142,43175,8955,629,312,3410,2402,44014,843,392,80,守谷市　　　　
45178,5340,26476,13321,284,548,902,1121,44074,1740,162,61,常陸大宮市　　
54240,7138,33708,13392,407,516,1648,1599,46653,1489,243,96,那珂市　　　　
108527,14320,68435,25502,790,1194,2116,2618,107697,2222,556,240,筑西市　　　　
56114,7557,36007,12448,433,635,1160,1311,53675,830,256,128,坂東市　　　　
46895,5352,29234,12260,287,590,1024,1275,45116,1042,193,104,稲敷市　　　　
43553,5889,27543,10023,389,453,1458,1562,37100,839,226,96,かすみがうら市
45673,5808,28064,11788,301,573,768,983,44168,945,179,60,桜川市　　　　
94795,14684,63837,15792,1012,756,3188,2868,97855,1724,637,275,神栖市　　　　
37611,4341,22858,10383,270,503,766,869,36618,675,121,53,行方市　　　　
50156,6044,30986,13083,354,595,1184,1313,46089,1346,225,104,鉾田市　　　　
44461,5940,28846,9656,421,371,2476,1648,34787,806,296,80,つくばみらい市
52279,7279,33387,11502,452,544,1732,1818,51457,1075,313,111,小美玉市　　　
34513,4229,21245,9026,234,369,1105,1194,30686,811,141,66,茨城町　　　　
18328,2145,11355,4780,116,215,480,464,18737,722,90,28,大洗町　　　　
21491,2520,12991,5979,132,264,439,541,17790,650,76,28,城里町　　　　
37438,6278,23444,7643,419,250,1744,1390,36880,778,237,47,東海村　　　　
20073,1853,10859,7347,89,347,365,436,20375,990,57,32,大子町　　　　
17299,2285,11233,3760,149,174,535,789,16636,389,93,53,美浦村　　　　
47940,6311,31494,9927,378,407,1967,1969,43307,1081,250,104,阿見町　　　　
10172,1069,6122,2981,61,144,187,272,8752,208,55,15,河内町　　　　
23106,3149,14710,5231,166,263,454,528,20693,313,109,55,八千代町　　　
9410,1081,6293,2035,72,88,215,252,12791,131,43,14,五霞町　　　　
25714,3579,16403,5693,191,267,560,782,26208,424,131,46,境町　　　　　
17473,1721,10836,4915,81,180,558,575,11796,393,44,23,利根町　　　　
511739,71418,331324,98939,5129,3941,17138,17272,529965,14252,3346,1080,宇都宮市　　　
154530,19530,95137,39351,1148,1731,3052,3629,155386,5627,712,305,足利市　　　　
139262,17832,87210,33925,1039,1494,3051,3209,137559,3765,626,217,栃木市　　　　
121249,15402,75834,29394,946,1347,2641,2662,123863,4054,593,211,佐野市　　　　
102348,13698,63593,23466,855,1079,1862,2129,101711,2573,477,212,鹿沼市　　　　
90066,10483,54512,24826,568,1063,1987,2337,88911,3768,392,184,日光市　　　　
164454,23193,108376,30964,1447,1247,5698,5324,161774,3501,964,325,小山市　　　　
82289,12245,53841,16203,727,697,2101,2135,85172,1347,450,154,真岡市　　　　
77729,9864,50429,16385,592,719,2291,2404,82318,1605,326,138,大田原市　　　
35343,4638,22519,8161,254,352,1095,1071,35245,899,158,62,矢板市　　　　
117812,17087,76424,22968,1053,961,4091,3516,108494,2870,686,326,那須塩原市　　
44768,6480,29024,9180,426,389,1726,1583,38906,824,266,84,さくら市　　　
29206,3339,17594,8248,194,396,657,809,29058,878,97,41,那須烏山市　　
59483,8825,39174,11300,526,477,2296,2430,52128,1016,286,100,下野市　　　　
31621,5182,21082,5354,330,221,994,1023,32943,392,165,53,上三川町　　　
6521,840,3988,1693,32,88,157,211,6485,146,20,9,西方町　　　　
24348,3143,15712,5460,167,267,625,743,20840,481,136,36,益子町　　　　
15018,1574,8656,4788,82,199,294,360,14607,481,58,16,茂木町　　　　
12094,1623,7840,2620,105,160,374,407,10400,239,61,19,市貝町　　　　
16030,2133,9951,3927,123,196,425,453,27866,265,72,24,芳賀町　　　　
39605,5227,25450,8669,325,350,1131,1181,35474,883,169,73,壬生町　　　　
25720,3065,17227,5383,174,194,825,857,20735,577,107,29,野木町　　　　
18241,2142,11510,4581,118,230,495,472,16021,376,70,23,岩舟町　　　　
12560,1437,7634,3489,89,134,211,291,11147,311,42,19,塩谷町　　　　
30436,4284,20170,5964,297,266,1232,1370,25200,504,208,62,高根沢町　　　
26765,3136,16005,7573,150,320,1046,1018,28003,756,121,51,那須町　　　　
18446,2003,11058,5385,108,259,359,483,17598,480,79,35,那珂川町　　　
340291,45875,212620,79503,2862,3080,9266,9733,357604,11588,1719,635,前橋市　　　　
371302,51837,232305,83806,3332,3308,11808,11054,373210,12260,1965,663,高崎市　　　　
121704,14353,72413,34625,757,1491,2453,2949,126811,5351,537,231,桐生市　　　　
207221,31776,132185,42063,1921,1703,5881,5376,199625,5057,1218,473,伊勢崎市　　　
216465,32943,138538,43797,2069,1782,6383,5829,226884,5222,1294,482,太田市　　　　
51265,6849,30254,13752,345,624,1186,1341,52558,1982,225,108,沼田市　　　　
78608,11013,49500,17559,638,761,2216,2363,77670,2267,394,135,館林市　　　　
83330,10175,50843,22087,565,875,1867,2281,82974,2694,362,151,渋川市　　　　
67975,9196,42357,16259,505,706,1592,1794,64922,2141,287,146,藤岡市　　　　
52070,6869,31273,13705,392,621,1083,1274,53713,1604,203,78,富岡市　　　　
61077,7578,36556,16859,415,685,1261,1362,57380,2269,242,94,安中市　　　　
51899,7632,32578,11632,470,464,1507,1588,46450,1452,275,124,みどり市　　　
14370,2128,9417,2819,103,125,647,731,11428,256,62,26,榛東村　　　　
19801,3255,12636,3859,197,138,812,650,14669,340,111,39,吉岡町　　　　
1306,132,621,553,7,25,62,65,1605,105,3,2,上野村　　　　
2352,115,1006,1231,5,54,60,96,2861,214,5,1,神流町　　　　
8911,683,4646,3549,26,146,154,265,9531,503,31,15,下仁田町　　　
2423,103,933,1387,3,71,43,59,2508,258,5,1,南牧村　　　　
13618,1691,8407,3520,71,177,358,347,12191,350,52,16,甘楽町　　　　
18216,2001,10193,5995,103,258,423,546,18195,831,74,32,中之条町　　　
6017,802,3489,1726,35,70,248,298,7170,244,27,9,長野原町　　　
10183,1210,6064,2905,66,117,318,310,10693,301,37,13,嬬恋村　　　　
7160,772,4107,2281,43,81,396,351,8270,474,33,21,草津町　　　　
3911,511,2193,1207,26,54,94,115,3952,98,15,4,高山村　　　　
15622,1716,8984,4917,79,233,336,400,16230,596,49,21,東吾妻町　　　
4904,591,2882,1431,30,80,114,160,5198,171,17,6,片品村　　　　
3898,477,1953,1468,28,69,111,82,3914,66,20,3,川場村　　　　
7620,1019,4671,1930,58,101,146,172,7158,167,42,12,昭和村　　　　
21345,2346,12224,6746,100,304,447,617,22075,988,79,31,みなかみ町　　
37536,5492,25631,6019,319,226,1214,1368,33178,655,205,81,玉村町　　　　
15706,1911,10075,3683,94,206,356,385,14712,256,48,23,板倉町　　　　
11209,1453,7225,2530,98,123,327,291,11436,189,59,18,明和町　　　　
11473,1531,7376,2542,85,124,310,288,11723,222,43,18,千代田町　　　
40257,5618,27833,6797,281,302,1283,1471,47468,917,208,77,大泉町　　　　
27023,3572,17620,5778,182,237,697,746,24718,524,108,48,邑楽町　　　　
84029,11329,53214,19324,668,630,3720,3168,68878,2357,409,154,　さいたま市西区　　　　　
138630,19917,92661,24279,1339,871,9816,8375,119364,4406,906,272,　北区　　　　　
108488,12307,70551,22359,900,872,7573,6645,157742,4457,724,202,　大宮区　　　　
157143,21587,102033,33012,1262,1098,7526,6257,118466,4577,810,310,　見沼区　　　　
96055,13258,65485,16977,958,606,5948,5697,88632,2808,647,157,　中央区　　　　
96911,12829,66388,17076,911,520,5162,5233,75702,2756,623,218,　桜区　　　　　
144786,19619,97739,26711,1197,921,8876,8551,144022,5195,828,215,　浦和区　　　　
174988,24889,121719,27549,1751,907,10766,10739,119286,4762,1308,316,　南区　　　　　
110118,16825,72742,20173,1064,701,5915,4953,78522,2543,575,195,　緑区　　　　　
111286,14366,70528,26104,819,917,3696,3687,107024,3223,506,241,　岩槻区　　　　
342670,44495,225121,71713,2807,2493,13834,11337,320286,10239,1843,674,川越市　　　　
203180,25999,132451,44184,1563,1788,6634,6889,203748,5630,1014,361,熊谷市　　　　
500598,67205,337456,94675,4697,3454,21266,21047,406505,15696,3417,1271,川口市　　　　
85786,10777,55733,19208,581,808,2218,2455,77946,2241,366,147,行田市　　　　
66955,8733,39877,18329,480,813,1190,1522,68638,2686,267,127,秩父市　　　　
341924,43519,226796,70413,2867,2270,14564,14106,284436,10307,1869,663,所沢市　　　　
83549,9776,54281,19410,528,797,2413,2505,74843,2423,343,116,飯能市　　　　
115002,14698,76263,23971,824,1117,3359,3235,103428,2347,493,240,加須市　　　　
81889,10293,52199,18592,600,752,2372,2481,82911,3008,388,177,本庄市　　　　
90099,10882,60809,18304,647,770,3339,2968,89874,2362,407,172,東松山市　　　
237171,29916,154855,52062,1742,1735,7988,7962,190608,6714,1216,516,春日部市　　　
155727,18630,101639,35045,1118,1135,5671,6275,145879,4537,765,289,狭山市　　　　
56204,7236,36208,12710,376,561,1649,1528,53252,1356,217,96,羽生市　　　　
119639,15259,79367,24945,813,933,3898,3694,95220,2812,494,195,鴻巣市　　　　
144618,19930,93614,30926,1226,1250,3870,3900,136891,3281,711,253,深谷市　　　　
223926,31097,145640,46667,1911,1430,8522,8197,182366,6240,1176,490,上尾市　　　　
243855,33409,160509,46511,2104,1552,10425,10055,191927,7430,1444,530,草加市　　　　
326313,44961,215931,64514,2796,2106,13014,11099,263826,8681,1839,708,越谷市　　　　
71502,7887,48615,14650,557,546,4530,4291,58985,2939,500,163,蕨市　　　　　
123079,18544,85749,17593,1394,645,8612,7353,114102,3199,966,286,戸田市　　　　
149872,20099,99547,30165,1119,1095,5272,5213,127657,3930,664,321,入間市　　　　
60908,8421,39106,13302,613,472,3084,2802,44061,1919,358,155,鳩ヶ谷市　　　
129691,18112,88207,21332,1328,738,8015,7664,101399,4168,986,267,朝霞市　　　　
69611,9335,46712,13523,591,420,3540,3464,53012,1962,437,133,志木市　　　　
80745,11478,57533,11353,905,377,6350,6438,64837,2012,692,179,和光市　　　　
158777,21580,104229,32263,1411,1023,8093,6910,127534,4822,851,349,新座市　　　　
74711,9776,48235,16608,568,594,2923,2696,60460,1951,385,154,桶川市　　　　
154310,19009,102955,32067,1111,1230,4903,5121,129734,3825,751,268,久喜市　　　　
68888,8765,45079,15043,518,494,2376,2626,54901,1835,330,120,北本市　　　　
82977,11661,54987,16085,759,574,3409,3141,75808,2065,552,227,八潮市　　　　
106736,14618,70348,21579,949,716,5658,5370,73754,3176,650,227,富士見市　　　
131415,17200,88480,25618,1024,814,5516,4673,105526,3737,656,348,三郷市　　　　
63309,7833,40510,14965,506,506,2292,2409,49479,1481,325,108,蓮田市　　　　
101700,13398,67077,20959,807,684,4051,4212,90313,3073,501,239,坂戸市　　　　
54012,6106,35227,12666,346,475,1703,1712,43559,1601,211,94,幸手市　　　　
69990,9684,47536,12669,604,414,3151,3410,53810,1619,399,155,鶴ヶ島市　　　
57473,7687,36890,12823,433,481,2060,1759,45601,1463,247,117,日高市　　　　
65298,10524,43450,11299,629,388,2700,2211,49772,1181,336,152,吉川市　　　　
105695,14749,67996,22848,933,781,5445,4907,82084,3525,613,189,ふじみ野市　　
42494,7506,27740,7232,521,238,2024,1600,36183,651,231,97,伊奈町　　　　
38706,5492,24297,8914,292,259,1716,1307,41937,902,142,65,三芳町　　　　
39054,4228,25893,8885,227,360,1229,1357,33759,1186,132,90,毛呂山町　　　
12537,1447,7991,3097,61,162,325,389,11434,427,50,23,越生町　　　　
17323,2665,11425,3191,209,102,831,675,15118,302,108,28,滑川町　　　　
18887,2187,12281,4414,137,200,521,703,19386,473,64,33,嵐山町　　　　
32913,3303,21385,8221,163,346,857,1037,27423,965,124,38,小川町　　　　
22147,2640,14516,4988,114,196,576,693,19924,348,73,32,川島町　　　　
21079,2412,14177,4482,108,194,542,695,18693,348,93,40,吉見町　　　　
15305,1384,9604,4317,61,150,403,435,14137,340,41,30,鳩山町　　　　
12418,1249,7992,3176,49,133,321,382,11504,300,34,25,ときがわ町　　
9039,1230,5433,2376,70,130,237,296,7954,273,32,11,横瀬町　　　　
10888,1321,6387,3179,88,148,261,297,10597,417,41,20,皆野町　　　　
7908,959,4577,2372,42,101,185,215,7118,279,33,8,長瀞町　　　　
13436,1643,7849,3944,80,188,246,353,13406,463,50,25,小鹿野町　　　
3348,324,1963,1061,14,58,51,96,2760,115,11,2,東秩父村　　　
11605,1368,7371,2866,65,148,301,269,11894,245,41,16,美里町　　　　
14470,1909,9372,3176,110,165,422,528,14723,321,65,27,神川町　　　　
30998,4727,20428,5811,263,244,1066,1058,25210,703,141,60,上里町　　　　
35774,4338,22766,8669,225,357,980,1240,32041,1058,172,91,寄居町　　　　
33641,3688,21684,8218,217,252,1102,1282,26958,920,127,43,宮代町　　　　
50272,6738,32892,10598,384,409,1922,1636,37218,1058,250,71,白岡町　　　　
46923,6068,30499,10327,348,333,1615,1639,39172,979,195,75,杉戸町　　　　
31153,4635,20309,6193,223,227,916,1008,23805,582,134,78,松伏町　　　　
199364,23198,126882,40845,1822,1544,12603,10622,249071,8476,1460,422,　千葉市中央区　　　　
180949,20910,111517,40274,1444,1374,8886,9344,137007,6012,964,355,　花見川区　　　
157768,20201,102392,32215,1302,1073,8331,7882,135590,5712,901,310,　稲毛区　　　　
151585,17871,90698,37665,1099,1245,7057,6609,125740,5805,897,371,　若葉区　　　　
121921,20151,79947,20995,1131,691,6083,4803,87495,2325,578,238,　緑区　　　　　
150162,21641,95060,26856,1198,712,6461,6528,159124,4741,666,275,　美浜区　　　　
70210,7118,42813,20194,346,883,1316,1659,73689,2891,243,136,銚子市　　　　
473919,54439,310379,86320,4667,2954,26917,28600,358614,16381,3879,1070,市川市　　　　
609040,82370,404234,118833,5921,3931,30214,26908,473490,19325,3994,1142,船橋市　　　　
49290,5861,27943,15475,343,639,1945,1776,53473,2900,230,93,館山市　　　　
129312,17462,82458,29069,1045,1144,5618,4522,119005,3995,733,299,木更津市　　　
484457,58921,310363,100597,4316,3410,21480,21234,379315,17470,3023,1019,松戸市　　　　
155491,20405,100680,34020,1200,1196,4724,4514,137559,3931,762,312,野田市　　　　
93015,11174,58833,22490,673,863,3017,3058,91141,3145,452,206,茂原市　　　　
128933,18127,87111,22674,1348,876,6883,7261,161988,2929,973,256,成田市　　　　
172183,21454,112223,38498,1213,1281,6427,6121,132252,4688,828,314,佐倉市　　　　
61751,7606,41079,12810,460,493,2759,2829,60701,1708,311,182,東金市　　　　
69058,8890,43499,16630,542,793,1567,1614,64994,1716,326,143,旭市　　　　　
164530,22675,110339,31488,1382,1025,9196,8245,141662,5122,936,249,習志野市　　　
404012,54571,267374,80129,3535,2578,18767,16409,342287,11053,2257,694,柏市　　　　　
20788,1762,12250,6775,93,290,870,906,20906,1043,71,28,勝浦市　　　　
280416,35751,183749,58635,2122,2328,8634,8713,260218,8241,1533,633,市原市　　　　
163984,22112,107576,33808,1508,1095,9058,6854,109697,4004,978,258,流山市　　　　
189781,28994,122317,38465,1830,1219,8503,7903,153807,5584,1076,433,八千代市　　　
134017,16718,81590,31271,1122,976,4918,4924,101155,4417,716,253,我孫子市　　　
35766,3929,20221,11567,260,534,1122,1147,37337,1760,175,58,鴨川市　　　　
107853,14258,69462,23703,887,781,5673,4674,75917,3028,609,224,鎌ケ谷市　　　
89168,11005,56814,21219,662,788,2925,3203,87714,2486,477,221,君津市　　　　
48073,5009,29028,13974,250,599,1251,1371,44471,1604,198,81,富津市　　　　
164877,26929,118402,19290,1621,759,10236,10085,150561,2844,1191,340,浦安市　　　　
86726,11833,54781,20093,657,642,3490,3082,66247,2163,419,167,四街道市　　　
60355,8421,39688,12157,517,488,2186,2041,54947,1165,314,121,袖ケ浦市　　　
73212,9526,49239,14447,483,628,2405,2744,60561,1680,349,216,八街市　　　　
88176,12802,61063,14193,668,538,4820,3418,65111,1339,341,128,印西市　　　　
60345,9575,39855,10825,594,343,2968,2225,44555,1100,262,115,白井市　　　　
51087,6438,35212,9160,407,378,2193,2533,41258,1073,349,118,富里市　　　　
42104,4107,22206,15784,211,737,1044,1046,39594,2177,137,56,南房総市　　　
39814,4632,24177,10952,268,495,929,998,39623,1146,152,67,匝瑳市　　　　
82866,9457,50131,23178,540,999,1606,1941,78568,2228,359,163,香取市　　　　
56089,6469,35086,14177,326,683,1666,1766,50325,1617,245,139,山武市　　　　
40962,4224,23127,13598,271,528,1111,1141,36308,1757,164,56,いすみ市　　　
21234,2706,13851,4618,152,180,909,1038,15476,576,93,35,酒々井町　　　
22580,2227,15403,4950,121,201,660,857,15844,477,84,42,栄町　　　　　
6454,768,3905,1781,23,77,172,215,5667,141,21,8,神崎町　　　　
16002,1673,9591,4730,81,223,337,443,16677,365,83,31,多古町　　　　
15154,1729,9132,4290,81,188,253,363,12705,321,49,23,東庄町　　　　
50113,6341,32266,11454,334,447,1990,1722,36444,1451,206,105,大網白里町　　
18004,1842,11075,5065,101,253,519,576,15788,703,72,47,九十九里町　　
7920,925,4774,2213,45,111,260,262,12721,185,36,18,芝山町　　　　
24675,2952,14614,7091,160,333,612,671,22517,839,114,48,横芝光町　　　
12034,1516,7188,3305,81,157,564,481,10553,455,64,31,一宮町　　　　
7340,695,4310,2335,39,92,184,222,6209,182,20,15,睦沢町　　　　
14752,1873,9025,3854,99,170,487,400,11777,407,80,28,長生村　　　　
12151,1205,7315,3630,55,165,375,428,10360,449,53,28,白子町　　　　
8035,819,4793,2423,34,98,228,293,7956,233,31,17,長柄町　　　　
9073,793,5323,2957,42,139,203,218,9164,254,41,16,長南町　　　　
10671,1084,5982,3605,39,160,252,301,12049,438,40,15,大多喜町　　　
7738,655,3941,3142,35,116,317,230,6848,495,29,12,御宿町　　　　
8950,847,4774,3329,33,176,195,216,8427,540,25,14,鋸南町　　　　
47115,5055,32950,9028,380,348,5676,5014,853382,2468,458,94,　東京都千代田区　　　
122762,12936,90310,19503,1316,784,12992,10722,647733,5501,1411,319,　中央区　　　　
205131,22938,145091,34823,2353,1362,20813,17956,908940,10116,2172,604,　港区　　　　　
326309,25000,232181,60872,2193,2343,28256,26515,770094,20489,2679,735,　新宿区　　　　
206626,20159,143958,38280,1539,1438,16761,14964,336229,10939,1581,331,　文京区　　　　
175928,15067,117000,40720,1185,1790,13305,11280,303522,11143,1561,446,　台東区　　　　
247606,25829,168031,52777,2045,2101,15722,13642,262514,12590,1967,622,　墨田区　　　　
460819,55555,317182,88073,4354,3410,27383,23812,490708,20581,3438,1123,　江東区　　　　
365302,35993,254692,69850,3142,2744,26717,24283,505034,19390,3065,754,　品川区　　　　
268330,25719,185910,51608,2074,1741,21891,21146,271320,12777,2484,500,　目黒区　　　　
693373,75456,471448,140120,5691,5651,37039,36802,657209,34690,5120,1385,　大田区　　　　
877138,95732,617397,159857,6955,5783,57278,54778,736040,40210,6600,1562,　世田谷区　　　
204492,15417,142850,38660,1647,1456,19652,18754,542803,12704,1972,416,　渋谷区　　　　
314750,23205,224154,61567,2290,2277,25769,26646,285636,18163,2746,618,　中野区　　　　
549569,40863,323567,109199,3964,3896,38649,38981,439379,35346,4232,944,　杉並区　　　　
284678,22225,204120,54048,1776,2212,22089,20557,378475,17504,2220,635,　豊島区　　　　
335544,31200,220646,79520,2389,3184,19383,19482,307317,22524,2268,612,　北区　　　　　
203296,22073,134122,43680,1581,1868,12106,9925,184021,10870,1417,436,　荒川区　　　　
535824,55731,356417,111800,4346,4204,29358,29719,456425,29665,3867,1215,　板橋区　　　　
716124,87257,488098,137625,5948,4893,39565,39884,530628,29693,4571,1420,　練馬区　　　　
683426,83948,444696,151167,5600,5598,27831,25020,539309,36175,4250,1673,　足立区　　　　
442586,53493,291627,97391,3679,3817,21745,18200,343039,21222,2839,1025,　葛飾区　　　　
678967,95439,455358,121810,6296,4655,32975,31775,534942,25208,4689,1677,　江戸川区　　　
580053,72084,383213,119429,4350,4143,23923,21615,549417,20123,2751,1017,八王子市　　　
179668,21278,118908,38153,1457,1329,9782,9692,193465,7545,1127,368,立川市　　　　
138734,14416,96223,27082,995,1005,10510,10017,154448,6895,1036,205,武蔵野市　　　
186083,21557,129619,34741,1574,1212,11197,12025,148458,7591,1255,295,三鷹市　　　　
139339,17992,88933,32250,1044,1550,4844,4290,127176,3996,663,317,青梅市　　　　
255506,34066,173664,46351,2300,1573,14790,13861,236133,9053,1631,451,府中市　　　　
112297,14527,74272,23213,955,864,4959,4735,100508,4375,621,227,昭島市　　　　
223593,26805,152257,41996,2028,1411,13981,13967,186275,9355,1510,395,調布市　　　　
426987,57862,274727,91999,3303,3004,17938,16222,364091,16104,2037,798,町田市　　　　
118852,13362,82170,21955,943,766,9056,7744,95195,4937,766,179,小金井市　　　
187035,23774,124342,37384,1609,1293,10079,10478,160499,7259,1042,298,小平市　　　　
180052,23162,118458,37270,1492,1217,8869,8298,154114,6767,979,298,日野市　　　　
153557,19793,98869,34325,1291,1251,7375,6589,115046,6233,807,282,東村山市　　　
120650,14062,82677,22661,905,778,7001,7960,95649,4491,803,175,国分寺市　　　
59796,7120,40194,12207,506,517,2683,3186,52442,2680,423,160,福生市　　　　
