人口総数,"15歳未満人口","15〜64歳人口","65歳以上人口",出生数,死亡数,転入者数,転出者数,昼間人口,"高齢単身世帯数",婚姻件数,離婚件数,政府統計の総合窓口より2012年の人口状況
3800,396,2141,1263,30,59,154,145,4076,189,11,5,仁木町　　　　
21258,2371,12215,6672,120,283,700,830,21749,1279,78,38,余市町　　　　
1262,170,746,346,16,12,92,87,1505,70,5,4,赤井川村　　　
8778,1025,5679,2074,44,88,255,362,8021,222,24,17,南幌町　　　　
6194,656,3358,2180,25,82,162,228,7009,434,17,8,奈井江町　　　
4086,355,1996,1735,15,72,131,156,4292,464,10,5,上砂川町　　　
5896,621,3269,2006,20,69,147,195,6601,339,25,8,由仁町　　　　
11691,1338,6877,3476,90,115,354,404,12089,438,57,19,長沼町　　　　
13340,1484,7481,4366,73,167,444,527,14690,695,52,20,栗山町　　　　
4859,327,3188,1343,26,50,167,191,5144,197,14,6,月形町　　　　
2206,227,1173,806,11,26,67,107,2373,116,5,2,浦臼町　　　　
7249,858,3936,2455,52,96,194,247,7080,291,26,11,新十津川町　　
3462,347,1820,1295,17,44,77,102,3849,174,5,4,妹背牛町　　　
2730,253,1454,1023,13,48,85,73,2794,133,14,2,秩父別町　　　
3049,323,1700,1026,15,36,89,129,3278,138,11,8,雨竜町　　　　
2193,215,1123,855,16,33,53,50,2355,95,7,5,北竜町　　　　
3612,357,1984,1271,21,45,107,159,4031,172,12,4,沼田町　　　　
7345,1159,4214,1972,39,71,258,255,6407,258,21,13,鷹栖町　　　　
9292,1583,5618,2091,58,62,389,307,7823,250,22,21,東神楽町　　　
7087,809,3773,2505,38,98,170,183,6593,371,24,13,当麻町　　　　
4042,402,2162,1478,14,52,117,115,3760,210,9,8,比布町　　　　
3328,342,1731,1255,16,68,85,117,3728,175,8,3,愛別町　　　　
4532,444,2496,1592,23,43,165,209,5650,350,12,6,上川町　　　　
7859,1070,4592,2197,44,82,409,342,7875,295,31,20,東川町　　　　
10956,1265,6025,3666,61,133,329,336,11526,531,45,17,美瑛町　　　　
11545,1639,6970,2936,104,123,445,650,12189,399,69,23,上富良野町　　
5477,772,3096,1609,50,65,178,236,5381,206,19,7,中富良野町　　
2814,324,1637,853,19,32,149,145,3028,151,15,3,南富良野町　　
1394,130,964,294,13,12,82,125,2032,55,5,0,占冠村　　　　
3832,400,1927,1505,25,72,90,142,4180,251,13,4,和寒町　　　　
3565,385,1978,1202,17,35,127,129,3821,162,10,4,剣淵町　　　　
3775,365,2032,1378,13,56,129,151,4152,282,15,2,下川町　　　　
5178,548,2870,1760,25,62,222,250,5507,302,22,8,美深町　　　　
995,53,696,246,3,8,95,102,1056,44,3,2,音威子府村　　
1907,176,1066,665,9,25,108,110,2134,128,9,0,中川町　　　　
1710,193,897,620,9,33,90,114,2004,124,1,1,幌加内町　　　
5078,479,2658,1941,25,73,106,178,5504,387,28,8,増毛町　　　　
3717,357,2071,1289,25,64,106,159,4139,219,11,7,小平町　　　　
3656,392,1927,1337,26,62,91,150,4139,236,11,7,苫前町　　　　
7964,828,4284,2850,55,108,279,305,8846,518,34,10,羽幌町　　　　
1369,157,741,471,8,24,46,59,1471,91,1,0,初山別村　　　
3084,371,1656,1057,19,40,91,113,3406,148,18,2,遠別町　　　　
3780,453,2275,1052,27,35,199,170,4120,180,15,6,天塩町　　　　
2825,435,1776,614,24,37,118,139,3033,105,13,7,猿払村　　　　
4168,504,2516,1148,22,57,207,227,4717,190,13,8,浜頓別町　　　
1974,207,1057,710,8,20,89,94,2233,114,2,1,中頓別町　　　
9125,1174,5375,2576,71,121,299,348,9769,514,33,22,枝幸町　　　　
4378,528,2658,1192,39,70,195,261,4784,220,20,8,豊富町　　　　
3078,316,1816,946,22,37,144,181,3472,196,15,7,礼文町　　　　
2590,241,1465,884,19,52,114,163,3056,175,5,10,利尻町　　　　
3037,342,1665,1030,32,38,134,120,3212,190,15,4,利尻富士町　　
2677,328,1738,611,26,29,157,163,2836,118,26,5,幌延町　　　　
21575,2720,12903,5950,153,244,799,974,21841,977,109,56,美幌町　　　　
5646,573,2964,2109,27,76,154,231,6378,373,22,5,津別町　　　　
13045,1535,8070,3440,113,118,501,555,13776,650,59,24,斜里町　　　　
4551,554,2497,1500,35,54,165,196,4847,212,28,6,清里町　　　　
5358,630,3025,1703,44,68,173,219,5570,251,20,14,小清水町　　　
5435,660,3079,1696,34,57,162,236,5731,196,19,9,訓子府町　　　
3428,344,1779,1305,23,45,101,127,3708,186,13,3,置戸町　　　　
5892,671,3268,1953,47,61,143,206,6629,267,30,5,佐呂間町　　　
22265,2751,12560,6949,168,272,902,1159,23262,1277,114,38,遠軽町　　　　
10041,1226,5582,3233,63,124,273,305,11033,517,27,17,湧別町　　　　
3028,269,1593,1166,17,52,91,153,3364,229,10,0,滝上町　　　　
4301,553,2550,1198,33,51,190,243,4646,219,28,5,興部町　　　　
1135,109,643,383,6,21,72,80,1210,62,5,2,西興部村　　　
4939,534,2964,1441,35,77,178,237,5575,295,15,9,雄武町　　　　
7933,1059,4554,2318,69,91,263,299,8641,315,44,12,大空町　　　　
4528,447,2525,1556,20,73,203,273,4461,298,19,6,豊浦町　　　　
3232,350,1633,1249,18,43,124,164,3897,177,11,2,壮瞥町　　　　
19376,1917,10852,6600,100,233,690,759,20623,1328,71,31,白老町　　　　
4890,554,2751,1585,31,73,211,199,5739,200,15,6,厚真町　　　　
10132,998,5568,3566,54,120,398,541,11950,660,37,16,洞爺湖町　　　
8726,1059,5041,2626,66,93,357,437,9569,502,35,14,安平町　　　　
9746,1074,5570,3100,69,139,304,398,10441,539,34,18,むかわ町　　　
13615,1686,8076,3853,119,170,617,733,14796,738,61,28,日高町　　　　
5596,719,3263,1614,45,69,233,303,6217,353,22,7,平取町　　　　
5775,755,3458,1562,42,74,335,315,5920,281,25,14,新冠町　　　　
14389,1794,8979,3616,102,141,767,924,16168,736,82,26,浦河町　　　　
5114,589,2949,1576,42,74,169,177,5508,368,22,10,様似町　　　　
5413,767,3330,1316,55,76,150,260,5785,221,38,10,えりも町　　　
25419,3244,15202,6973,199,279,1024,1219,27303,1407,146,68,新ひだか町　　
45085,7213,27537,10295,409,362,1986,1696,36733,1495,214,106,音更町　　　　
6416,911,3774,1731,54,73,233,262,7390,255,28,10,士幌町　　　　
